id, owner, vaultDebt, vaultCollateral 
0, 0x679016B3F8E98673f85c6F72567f22b58Aa15A54, 0, 1.1791202388214415
1, 0xe00EaA2787a8830A485153b7Bf508Bc781E4A220, 0, 0
2, 0x51ACddb3C4c37A5f9239D92EddD8eA0a59515DDd, 0, 0.05965069483973973
3, 0xAd95A5fE898679B927C266eB2eDfAbC7fe268C27, 0, 0
4, 0xa1a7Ae2f202C5762f3C4ee2FeD99E3f42c6F1f1F, 69, 0.1334251012667768
5, 0x39c78cE4fBd59722f48A3271fE11F9AC5F933Ba0, 58500.00031299239, 71.57886311767429
6, 0xF4f19e0896ed2F275945514b93c9115d5d2630A5, 45000, 61.36451662322721
7, 0x9BE43Ec7472E708858D4b8711F54B238bf0ac789, 11500.000000000002, 15.332500524965935
8, 0xE32650e748e7E4aba16181D9882D15ba328d5a78, 5000, 7.062055927055861
9, 0x5B4eC638a242f5ea51f27C1DBf1898808d1BC9Ea, 0, 0.07648995384748182
10, 0xF17ac82CB2c92853100f150591973857B1b48D7F, 0, 0
11, 0x8A8606817b360f6c26246A8b1F081a5050174cD5, 33171.29362558795, 42.33383783883645
12, 0x324DEe9B7bb1294C6FCf71F0841a1e5aeFD19520, 0, 0
13, 0x494b509a7B4Acf473B2e46dcB238224BfE183865, 0, 0
14, 0xF5AF311f19EA4973A8Bc1A28E3b222bDc41c3121, 0, 0
15, 0x49a5492FDFe5AcC966dD5f41310dfDfe8dAA349C, 100, 0.2873679974210325
16, 0x09473c1cF0600ed610bB71F6AC4C9518be4dC8f9, 647.2474469293246, 1.1493936831350606
17, 0x4105540937ab9e6A2F65838617C41D12AE88cFF7, 0, 0
18, 0x22189Bf3a34ca76F1707149493938A4583aA897f, 3500, 4.00581418441957
19, 0x657aef2a21A6716512d375915Bd205D63D6b5D15, 0, 0
20, 0x15Ee3B2F09b83Aaf65E3E2550B96c46826335004, 0, 0
21, 0x15Ee3B2F09b83Aaf65E3E2550B96c46826335004, 0, 0
22, 0xCdD402E52AC33A54f60415C38CaD2Db6DEBe01a5, 2001.9891897707691, 2.7645691134134243
